entry,exp,spot,settle,k_short,k_long,width,credit_natural,credit_mid,gate,pnl_natural,pnl_mid,move,year
2018-01-02,2018-01-08,2695.79,2747.71,2630.0,2610.0,20.0,0.07999999999999996,0.20500000000000007,1.0,0.0038399999999999984,0.009840000000000003,0.0192596604334907,2018
2018-01-09,2018-01-16,2751.3,2776.43,2685.0,2665.0,20.0,0.07999999999999996,0.1899999999999999,1.0,0.0038399999999999984,0.009119999999999994,0.009133863991567459,2018
2018-01-17,2018-01-24,2802.57,2837.57,2735.0,2715.0,20.0,0.48,0.6299999999999999,1.0,0.023039999999999998,0.030239999999999996,0.012488537306829084,2018
2018-01-25,2018-01-31,2839.27,2823.85,2770.0,2750.0,20.0,0.47,0.595,1.0,0.022559999999999997,0.028559999999999995,-0.005430973454444321,2018
2018-02-01,2018-02-07,2821.99,2681.66,2750.0,2735.0,15.0,0.44999999999999996,0.6099999999999999,1.0,-0.9712,-0.96096,-0.049727320082636695,2018
2018-02-08,2018-02-14,2581.02,2698.65,2515.0,2500.0,15.0,1.1999999999999993,2.825000000000003,1.0,0.07679999999999995,0.18080000000000016,0.045575005230490406,2018
2018-02-15,2018-02-21,2731.2,2701.36,2665.0,2645.0,20.0,0.8700000000000001,1.27,1.0,0.041760000000000005,0.06096,-0.010925600468658314,2018
2018-02-22,2018-02-28,2703.96,2713.81,2635.0,2620.0,15.0,0.6999999999999997,1.125,1.0,0.04479999999999998,0.07200000000000001,0.0036428053669432803,2018
2018-03-01,2018-03-07,2677.58,2726.83,2610.0,2595.0,15.0,0.9500000000000011,1.6999999999999993,1.0,0.06080000000000007,0.10879999999999995,0.018393474704770707,2018
2018-03-08,2018-03-14,2738.97,2749.49,2670.0,2655.0,15.0,0.7200000000000002,1.0350000000000001,1.0,0.04608000000000001,0.06624000000000001,0.003840859885285264,2018
2018-03-15,2018-03-21,2747.33,2711.93,2680.0,2660.0,20.0,0.5,0.8100000000000005,1.0,0.024,0.03888000000000002,-0.0128852376671168,2018
2018-03-22,2018-03-29,2643.69,2641.4,2580.0,2560.0,20.0,2.049999999999999,2.9499999999999993,1.0,0.09839999999999995,0.14159999999999998,-0.0008662135121743075,2018
2018-04-02,2018-04-09,2581.86,2613.16,2515.0,2500.0,15.0,2.1500000000000004,2.924999999999999,0.0,0.1376,0.18719999999999992,0.012123043077471252,2018
2018-04-10,2018-04-16,2656.87,2677.84,2590.0,2575.0,15.0,1.3500000000000005,1.9000000000000004,0.0,0.08640000000000003,0.12160000000000001,0.007892745975527582,2018
2018-04-17,2018-04-23,2706.39,2670.29,2640.0,2620.0,20.0,0.6000000000000001,0.8999999999999999,1.0,0.028800000000000003,0.043199999999999995,-0.013338801872605166,2018
2018-04-24,2018-04-30,2634.55,2648.06,2570.0,2550.0,20.0,1.65,1.9349999999999996,1.0,0.07919999999999999,0.09287999999999998,0.0051280104761723955,2018
2018-05-01,2018-05-07,2654.77,2672.62,2590.0,2570.0,20.0,1.0499999999999998,1.325,1.0,0.050399999999999986,0.0636,0.006723746313239909,2018
2018-05-08,2018-05-14,2671.92,2730.13,2605.0,2590.0,15.0,0.5500000000000003,0.7750000000000001,1.0,0.035200000000000016,0.049600000000000005,0.021785831911135034,2018
2018-05-15,2018-05-21,2711.45,2733.02,2645.0,2625.0,20.0,0.6799999999999997,0.8899999999999997,1.0,0.03263999999999999,0.04271999999999999,0.007955153146840255,2018
2018-05-22,2018-05-29,2724.46,2689.86,2655.0,2640.0,15.0,0.13,0.25,1.0,0.00832,0.016,-0.012699764356973509,2018
2018-05-30,2018-06-06,2724.03,2772.35,2655.0,2640.0,15.0,0.44999999999999973,0.6499999999999999,1.0,0.028799999999999982,0.04159999999999999,0.01773842431984951,2018
2018-06-07,2018-06-13,2770.37,2775.63,2700.0,2685.0,15.0,0.22999999999999998,0.41500000000000004,1.0,0.014719999999999999,0.026560000000000004,0.0018986633554363141,2018
2018-06-14,2018-06-20,2782.51,2767.32,2715.0,2695.0,20.0,0.16999999999999993,0.30999999999999983,1.0,0.008159999999999997,0.01487999999999999,-0.005459099877448748,2018
