dte,exit,gate,n,E,win,sharpe,t,worst,h1,h2,pass_pre
7,expiry,ungated,128,0.19021562499999978,0.9140625,1.336468272962029,2.093949607793493,-4.664,0.11799999999999854,0.262431250000001,True
7,expiry,gated,85,0.2206823529411759,0.9058823529411765,1.8024649364407241,2.301329877006775,-4.1744,0.1674604651162782,0.27517142857142846,True
7,50%TP,ungated,128,0.20278749999999954,0.9453125,1.7652115685111691,2.7656953377310107,-4.664,0.10587499999999875,0.2997000000000003,True
7,50%TP,gated,85,0.21614117647058761,0.9411764705882353,2.329947217065991,2.9748024685966423,-4.1744,0.12568372093023103,0.30875238095238117,True
14,expiry,ungated,61,0.1872852459016401,0.9344262295081968,0.819735669829873,1.2538810428450742,-4.5776,0.006658064516128965,0.373933333333335,False
14,expiry,gated,41,0.39068292682926953,0.975609756097561,3.3712581617296786,4.227674328898706,-3.18199999999995,0.45942857142857124,0.3185000000000025,True
14,50%TP,ungated,61,0.28079999999999994,0.9836065573770492,2.213260819144024,3.3854398266851153,-4.4912,0.20510967741935474,0.35901333333333335,True
14,50%TP,gated,41,0.35566829268292677,1.0,9.943452607174303,12.469433461127638,0.15359999999999993,0.3405714285714285,0.37152,True
21,expiry,ungated,37,0.41491891891891886,0.972972972972973,2.2195690721600077,3.238416785072496,-3.9824,0.4350315789473684,0.393688888888889,True
21,expiry,gated,24,0.3660666666666666,0.9583333333333334,1.6196349766038938,1.9032068096789951,-3.9824,0.41040000000000004,0.32173333333333337,False
21,50%TP,ungated,37,0.36341621621621617,1.0,7.267140481611894,10.602972446461996,0.10799999999999998,0.2746526315789473,0.4571111111111111,True
21,50%TP,gated,24,0.37853333333333333,1.0,7.747844109566215,9.104366034732783,0.10799999999999998,0.25353333333333333,0.5035333333333333,True
30,expiry,ungated,23,0.1978086956521727,0.8695652173913043,0.6329532742691898,0.8702614859939114,-4.52,-0.08569999999999918,0.5070909090909057,False
30,expiry,gated,16,0.08274999999999837,0.8125,0.22469497037205363,0.25767218348093585,-4.52,-0.3145499999999988,0.4800499999999954,False
30,50%TP,ungated,23,0.046782608695651054,0.8695652173913043,0.15651290011981747,0.21519305543170508,-4.52,-0.2217666666666658,0.3397454545454513,False
30,50%TP,gated,16,-0.06675000000000167,0.8125,-0.18953691396559244,-0.21735417749175726,-4.52,-0.4562499999999988,0.32274999999999554,False
45,expiry,ungated,9,0.6026666666666667,1.0,14.337462571812686,15.102657605578873,0.4031999999999999,,,
45,50%TP,ungated,9,0.35653333333333337,1.0,12.229946437301708,12.8826626505212,0.22639999999999996,,,
