dte,exit,gate,cost,sharpe,dd,n,E,win,t
7,expiry,ungated,0.04,1.6753219971430828,-61.93215469721562,2378,0.04117395174754908,0.9369217830109335,10.938764193092673
7,expiry,ungated,0.08,1.5403811159837055,-65.23533778488166,2378,0.03767943211742291,0.9369217830109335,10.010225876153896
7,expiry,gated,0.04,1.9624812478119387,-36.03752476298922,1973,0.04999873253385303,0.9437404967055246,13.56868968626373
7,expiry,gated,0.08,1.8298370943617874,-36.29347786985858,1973,0.046460599720077135,0.9437404967055246,12.608798806494883
7,50%TP,ungated,0.04,1.469974446467778,-60.808272547456454,2378,0.029421000369065035,0.9486963835155593,8.644467928454189
7,50%TP,ungated,0.08,1.2514995677814469,-65.90293953245975,2378,0.025821908231737054,0.9470142977291842,7.443161023009503
7,50%TP,gated,0.04,1.6484654606165507,-32.843622539025176,1973,0.03494810611497682,0.952863659401926,10.2738560850842
7,50%TP,gated,0.08,1.415920751960797,-33.02105729892216,1973,0.03131540260430151,0.9513431322858591,8.971196637512472
14,expiry,ungated,0.04,0.36263678376064695,-176.82211846066718,2234,0.013930767731912944,0.918531781557744,2.8243177939755792
14,expiry,ungated,0.08,0.29313601121628796,-178.91660805727827,2234,0.010654768945955214,0.918531781557744,2.160516595682886
14,expiry,gated,0.04,0.6516875885902735,-84.09771507805526,1925,0.027264973555768325,0.9283116883116883,5.631256984476704
14,expiry,gated,0.08,0.5784666034099749,-84.70615487370198,1925,0.02385348279365252,0.9283116883116883,4.926625148713536
14,50%TP,ungated,0.04,0.278206021002539,-116.24213826469077,2234,0.007751313394894187,0.9391226499552372,1.839266358231854
14,50%TP,ungated,0.08,0.17620749087604887,-144.28692035301336,2234,0.004183478518444854,0.9368845120859445,0.9713036432662757
14,50%TP,gated,0.04,0.5004676053202465,-76.39664840393195,1925,0.01603953327152174,0.9444155844155844,3.854738209275493
14,50%TP,gated,0.08,0.4196749258307764,-77.05763757385469,1925,0.01360155468661592,0.9433766233766234,3.228228784997767
21,expiry,ungated,0.04,0.09160457275725326,-227.68046795618363,2042,0.0034487304322081166,0.9142997061704211,0.6380745643250865
21,expiry,ungated,0.08,0.04338930115539076,-250.67341493468763,2042,0.00039304593947678734,0.9138099902056807,0.07273293901557933
21,expiry,gated,0.04,0.3379871885017169,-104.63571081816966,1832,0.01693413974772099,0.9252183406113537,3.2318538074396255
21,expiry,gated,0.08,0.2852248757937582,-116.98861642336354,1832,0.013745120509198733,0.9246724890829694,2.6229817739568477
21,50%TP,ungated,0.04,0.006128845898704315,-198.6847150207556,2042,0.0003781197626241098,0.9387855044074437,0.08346952438048995
21,50%TP,ungated,0.08,-0.040058666086988215,-208.826286357929,2042,-0.0023416374582935265,0.9373163565132223,-0.5085924476844529
21,50%TP,gated,0.04,0.1815031072076961,-101.54620511043008,1832,0.007927522785820647,0.9443231441048034,1.781166532320464
21,50%TP,gated,0.08,0.1262575810488165,-111.723887372323,1832,0.005038156348373894,0.9426855895196506,1.1085372711417507
30,expiry,ungated,0.04,-0.15253287651098835,-414.834061915617,1830,-0.016543705348381437,0.9010928961748634,-2.638178952387402
30,expiry,ungated,0.08,-0.18207308855714222,-433.1593858099816,1830,-0.019358523500202098,0.9005464480874317,-3.0878054273317472
30,expiry,gated,0.04,-0.05182972819580063,-255.6359448164154,1706,-0.006508678283923972,0.9085580304806565,-1.0553664380857632
30,expiry,gated,0.08,-0.08419118324193227,-267.7124355547519,1706,-0.00942579024397632,0.9079718640093787,-1.5284592141203748
30,50%TP,ungated,0.04,-0.10359754821763124,-224.69236636105927,1830,-0.006877872520079278,0.9382513661202185,-1.3875738341784476
30,50%TP,ungated,0.08,-0.17684549129386223,-271.26151473780703,1830,-0.012324999617357515,0.9333333333333333,-2.4001900256153603
30,50%TP,gated,0.04,-0.032809910499178724,-174.19965606823894,1706,-0.0029255527138828874,0.9407971864009379,-0.5889321456723076
30,50%TP,gated,0.08,-0.11244638344189772,-203.840121250381,1706,-0.008684193534092954,0.9355216881594373,-1.6785021634315453
45,expiry,ungated,0.04,-0.1904858274870907,-419.9707059992088,1564,-0.025692556341834188,0.899616368286445,-3.7126999803332765
45,expiry,ungated,0.08,-0.20835138402549824,-432.0841544298552,1564,-0.02825583528277132,0.899616368286445,-4.084055853231513
45,expiry,gated,0.04,-0.17949380890551891,-373.7396757169428,1522,-0.024162872674178132,0.900131406044678,-3.461312298376955
45,expiry,gated,0.08,-0.19745345355967608,-385.6547834796689,1522,-0.02676264475083664,0.900131406044678,-3.8343905820810344
45,50%TP,ungated,0.04,-0.11143736638285416,-214.17014339471214,1564,-0.00797616829928353,0.9437340153452686,-1.5356443260332577
45,50%TP,ungated,0.08,-0.16285019647427829,-257.30211742588165,1564,-0.01259443414376136,0.9398976982097187,-2.340164289278161
45,50%TP,gated,0.04,-0.11228639124289912,-192.07924028719523,1522,-0.008296565253577502,0.942838370565046,-1.5668092580469586
45,50%TP,gated,0.08,-0.16426166885603294,-235.03163947972305,1522,-0.013016626280462655,0.9388961892247043,-2.371136061687812
